username,created_date,age,gender,city,state,rating,activity_name,title,activity_text,offline_reach,facebook_reach,twitter_reach
rlkottler,6/12/2013,42,f,Park City,UT,4,Race to Review Energy Blends,Better than expected,I have tried different kinds of sports gels in the past and have never really liked them.  But these PowerBar performance Energy blends were great.  I took one with me on a long hike that I did and took it about half way into my hike.  It gave me the energy I needed to finish the long hike and it tasted great.,,,1
kevinallaf,6/12/2013,36,m,Marietta,GA,5,Race to Review Energy Blends,Easy fuel for workouts,"I tried the Powerbar performance energy blends I received in the mail from Bzz Agent. I don't like to have something heavy before and after workouts, making the Powerbar energy blends a great way to refuel fast. I tried it before and during my workout, and it helped keep me going. I felt a bit more energized during my workout, and I felt like I could go a bit longer than usual. My favorite part is that there re few ingredients and they are mostly just fruit purees.",,,
qtpixta,6/12/2013,35,f,Huntington,NY,5,Race to Review Energy Blends,Easy energy,"I try to eat healthy and as all natural as possible so I like that there are very few ingredients and that it's mostly puréed fruit. I like the packaging - it even fits nicely into my yoga mat's bag! And I like that I can drink some and then reseal it. That way I can save some for after yoga class, if needed. I liked both flavors that I tried but my favorite was the Banana Blueberry.I love yoga and go at least 4 days a week. I feel like it makes me a better athlete. You shouldn't have a full stomach for yoga class but you definitely need energy. So about one hour before yoga class I had a PowerBar Performance Energy Blend.I found that it worked perfectly. I was energized enough after a long day at work to go to yoga and I wasn't hungry or full during class.",,,
CSONIA,6/12/2013,49,f,Katy,TX,5,Race to Review Energy Blends,Best Performance Energy Blends,"This is outstanding,the taste is fabulous, its like eating the real thing. We tested it out on our self's and then on our kids that are big...14,21 and 24 they did a soccer workout that pushed them to do more. We know have a dozen plus in our house and we can not do without them wonderful. Best thing that has been out in the market in a long time.",,,81
rkgilpin,6/12/2013,39,f,Jeannette,PA,2,Race to Review Energy Blends,PowerBar Energy Blends- not for me,I have been running and biking a lot lately so I was really excited to have the opportunity to try the PowerBar Energy Blends. The first thing I noticed was how small the package was (which is a good thing) and also how extremely easy to open it was. Now it was time for me to taste them. Since these are made from real fruit I was expecting to love them! That was definitely not the case. The texture was like baby food and that is all I could think about when I was drinking the banana blueberry one. I really had to force it down. I will say that the apple strawberry one was not as bad but I still did not like it. I didn't enjoy the texture or taste at all. I am sure that these are great for some people but unfortunately they just don't work for me. This is so disappointing because I really do like the idea of them and the ease of drinking them. ,,,
xtapunt,6/12/2013,35,f,New York,NY,5,Race to Review Energy Blends,Easy to use and good results,"I work out in the morning – otherwise I stress out about it the rest of the day, lose motivation, and get tired or busy doing other things. In the morning I’m in desperate need of coffee but I don’t have much of a desire for anything else: I’m not too hungry. But having some of a PowerBar Performance Energy Blend, and then taking the rest of the pouch with me on my run, helped me feel good during my entire workout. And I like that it’s lower in calories than PowerBar bars – at only 80 calories, I think it’s a calorie bargain.Before I leave for a long run, I take my dog out for a long walk. He’s a little dog so he’s not able to run with me, although I wish I could! So to save precious morning time, I took a pouch with me while walking him. It was easy to store in a bag I attach to his leash, and easy to drink with one hand while the other hand holds the leash.The fact that I can easily fit this product into my current workout schedule and lifestyle, and that I like the taste, nutrition, and energy levels it provides me, means that I am a fan of PowerBar Performance Energy Blends.",,,70
jhbolin,6/12/2013,34,m,Augusta,GA,5,Race to Review Energy Blends,Great tasting Energy boost,"My fiancé and I just started jumping on the running bandwagon, so I have been looking for a product that may help to make things a little easier. What I can say about PowerBar is that they taste amazing, feel much more healthy than some of the other ""energy"" sources, and actually deliver a boost of energy that helps. In comparing how I felt running after I drank the PowerBar vs not- there is certainly a difference. I felt as though my stamina was up and I certainly seemed to have more energy to finish the goal I have set for myself.My fiancé now drinks these with me before we start our running and although they can be a little pricey- I believe we will continue to use them to help us achieve the results we've been looking and working so hard for.",,,
shana607,6/12/2013,35,f,Waxahachie,TX,5,Race to Review Energy Blends,Energy and Performanc!,"I love the Powerbar brand! It does not make me feel queezy, a lot of products that I tried before seemed to do that! I am excited to share results with all my friends and family! I work out and the product really seemed to help keep me focused and alert during my worouts, it also seemed to help with durability! I am defiantly going to keep using the Powerbar brand of products!",,68,
kjmenser,6/12/2013,51,f,Palmyra,PA,4,Race to Review Energy Blends,Very good !!,I loved the flavors. I will be buying more. I had one before my last run and I could feel a difference. I actually won 1st place in my age group! ,,249,10
janinelee,6/12/2013,41,f,Tuscumbia,AL,5,Race to Review Energy Blends,Wonderful product,I have really enjoyed using this product I have gave many out at the gym after I have told someone how great the PowerBar® Performance Energy Blends taste and how they help me recover after a workout. Most have shared with me that they have also started using thePowerBar® Performance Energy Blends now. This is a great product. I am glad I have got to learn about this wonderful great tasting product.,,,
moguls27,6/12/2013,37,m,Chicago,IL,4,Race to Review Energy Blends,Great tasting Energy,These taste suprisingly good and provide the endurance needed for long runs.  It's great that you can consume them fast and it delivers quick results.,,,
laddieboy,6/12/2013,35,m,Huntington,NY,5,Race to Review Energy Blends,Cyclist approved,"I’m a cyclist and love taking my road bike out for long rides. Eating right is essential when you’re a cyclist. You need to hydrate, eat healthy, and avoid anything that’s too heavy (before, during, and after your ride) because you need to maintain your blood sugar levels at all times. So I bring a number of different easily portable, storable, and eatable foods along with my on my rides: bars, gels, nuts, dried fruits, etc. After joining this Bzz Campaign, I also brought a PowerBar Performance Energy Blend along with me.I felt like it gave me good, stable energy and sustained me for an acceptable amount of time. I love that it can fit in my small bike pouch and that I don’t have to worry about it spilling or leaking (like my gels sometimes do). And I find it much easier to eat than a bar or nuts and fruit. As for the taste, I was really happy with that too. I like the blended consistency and the fact that it’s recognizable as fruit. I will definitely continue to use PowerBar Performance Energy Blends. I hope they come out with additional flavors because I’d like to try other varieties too.",,,0
tboneramirez,6/12/2013,38,m,San Antonio,TX,5,Race to Review Energy Blends,Great energy,These little pouches pack a hugh punch.  I ran a half marathon last week and I carried a two of these on me.  They worked like a charm.  I had constant energy to keep going and I was able to beat my personal best. ,,,
laraemeldrum,6/11/2013,48,f,Bay City,MI,4,Race to Review Energy Blends,Tasty PowerBar !!,I am a beginner runner and find myself getting tired half way through my run.  The PowerBar Performance Energy Blend is easy to carry with me and taste great.   It taste like real fruit without that nasty after-taste that some of the gels have.  It is absorbed quickly and goes to work re-fueling your muscles so you can finish what you started.   I get lightheaded if I go on a long run without something for the halfway point.  The PowerBar Performance Energy Blend is a great halfway snack that I look forward to !!!,,,
reginakb,6/11/2013,46,f,Braintree,MA,4,Race to Review Energy Blends,a healthy energy boost,I liked the convenience of the fruit in the package. It was a lot like the applesauce on the go my kids eat. I through it in my gym bag and enjoyed it after a workout. I would definetly recommend it to my friends and family. I plan on purchasing it again and put them in my kids backpacks as they play sports and this would be a great alternative to a protein bar,,,
christl,6/11/2013,35,f,Maricopa,AZ,4,Race to Review Energy Blends,Great tasting energy boost,"I usually try to have a banana or other piece of fruit before my high intensity interval training. The PowerBar Performance Energy Blends are the PERFECT way to get that added boost of energy to fuel my workout. The flavors are great - my favorite was the apple/ mango/strawberry blend. I have tried other energy gels but have found most to be artificial in taste and too ""gooey"" in texture. In the PowerBar Blends I could taste real fruit and it was similar in texture to any fruit purees you might buy at the grocery store. I will definitely be buying these in future and recommending it to my friends! ",,206,
Beale123,6/11/2013,41,f,Bear,DE,5,Race to Review Energy Blends,Just the pickup I need...,"I have been working so many hours to meet a deadline and my body has done a nose dive everyday around 3.  Today I had my powerbar blend in my bag and decided to drink it aroung 2:00 to see if i coukd avoid that 3:00 crash...And it did he trick, thr powerbar blend gave me he energy to make it to 5:00 and now I am on my way to the gym.I have found my new pick me up.LOVE LOVE LOVE",,542,
mtijerina,6/11/2013,38,f,Sierra Vista,AZ,5,Race to Review Energy Blends,Power Bar Energy Blends ,"I have to say at first I thought I was not going to like this because I really don't go for energy stuff but I was shocked when I tried it. I'm training for my first 10k in Jan. The taste was not that bad and plus it was easy to open and not a lot of mess to pick up. I think I will continue to buy these Energy Blends during my training to help give me that boost of energy that I need.Thank you for letting me join",,,
jbilyou,6/11/2013,45,f,Scituate,MA,4,Race to Review Energy Blends,Great taste / Great Boost ,"Love this product - taste great and gave me sustainable energy without upsetting my stomach.  Works great,  the apple mango was my favorite!",,40,
brianpangborn,6/11/2013,38,m,Chicago,IL,5,Race to Review Energy Blends,Powerbar performance Energy Blends Tasty energy,"I had the opportunity to Try Powerbar's Performance Energy Blends a couple times for free thanks to Bzzagent. I have to say I was impressed. I liked the flavor, you can tell they are made with real fruit and not artificially flavored. The packaging was easy to use, with a large enough screw top that could be easily opened during a run or ride with little effort. As far as performance I found myself less fatigued than usual throughout my runs and rides. I felt they gave me the extra energy to not just get through my run but to enjoy the run. I'd recommend them to anyone looking for an easy way to fuel up before running or biking. ",,,
pixxie13,6/11/2013,36,f,South Portland,ME,5,Race to Review Energy Blends,"I love these, no mess!","I am going to talk about 2 separate things - the flavor and the convenience.  Often times these things taste like some really artificial slime, but these were actually tasty!  I was so impressed.But what got me totally sold was the fact that the bags are RESEALABLE.  This is monumental. So many times, I have to carry a million little packets and take them all in one shot.  I would also have to tear the packages open with my teeth, getting sticky stuff everywhere.  But with the Performance Energy Blends, I don't have to stop running.  I can just unscrew the cap, take a chug or two, then cap it back and tuck into my pocket.I will NEVER GO BACK TO GU.  I am so very impressed.",,0,6
ladyflyer28,6/11/2013,35,f,Wylie,TX,3,Race to Review Energy Blends,A quick and easy way to re-fuel!,"I tried the Banana Blueberry PowerBar Performance Blend before my spinning workout.  It was early in the morning, so I needed a good pick me up.  My first impression taste was that it had an interesting flavor.  It was very sweet and reminded me of baby food.  I was expecting it to have a vitamin like aftertaste, but was pleased it didn't have an overwhelming weirdness to it.  It was much sweeter than I expected.What is neat about this product is you can eat it at any time.  The packaging is made for those on the go and makes it easy and convenient to access and gives you just the right about of oomph to get through a workout.  It would be great on a hiking trip and I plan to take them along with me!",,,
memeanne74,6/11/2013,37,f,Matthews,NC,5,Race to Review Energy Blends,Great Product,this was perfect for me. Not in Athletics...but am seriously sick most days and this was perfect to help boost my energy and nutrition.,,52,2
RandysKatWoman,6/11/2013,54,f,Laurel,MS,5,Race to Review Energy Blends,Great Results!,There are so many products out there concerning energy. I myself wanted something with less/no caffeine and great taste with results I could feel during workouts. PowerBar® Performance Energy Blends is different from any other product I have tried. The taste is amazing plus it gives me a boost without unwanted side effects. The container is easy to carry and is resealable. Love this and a must have on my workout days.,,,2
Purrrsiancat,6/11/2013,42,f,Dobbs Ferry,NY,4,Race to Review Energy Blends,Power Bar Energy Gels Taste Great,"I tried both the Apple Mango Strawberry and the Blueberry Banana Power Bar Energy Gels. I liked them both but my personal favorite was the Apple Mango Strawberry. They both tasted very natural- justvlike eating fresh fruit. The consistency was like a thicker applesauce. My two daughters( age 5&7) liked them as well and the 7 year old is very picky. I would definitely use these in the future before or after a run. For me, they are too easy to use as fuel during the run.",,,13
brandeh3,6/11/2013,39,f,Idaho Falls,ID,5,Race to Review Energy Blends,No Longer Needing to Crawl Into Bed After A Long Run,"My first impression of the product reminded me of applesauce I purchase for my younger children and I wasn't sure I would like it. I run after a long day of work and by the time I get home, I am often exhausted.  My legs just want to crawl into bed.  My husband and I are training for a half marathon and it is key to keep the program going.  We used the PowerBar Performance Energy Blends after one of our longer runs.  I maintained my energy without feeling jittery.  I took one Performance Blend prior to running and one directly after we got back.  Both flavors are taste great. I really like the easy to use packaging.  No spilling.  I actually prefer it over the Power Bars.  The Power Bars have chalky taste to me.  Overall I would recommend this energy gel to any athlete. It works almost immediately and the effects lasted a long time.  ",,,
AngelaPaul,6/11/2013,41,f,Brooklyn,NY,4,Race to Review Energy Blends,Yummy and kept me running strong,I'm very picky about the gels and chews that I use during my runs since I never know how my body might react to them.  These were easy going down and quite yummy.  The extra carbs kept me running strong!,,252,
jolifleur,6/11/2013,48,f,Orlando,FL,5,Race to Review Energy Blends,PowerBar Performance Energy Drinks,"For a long time now, I've been looking for something that I can drink before a workout. I wanted a tasty drink that was full of vitamins and minerals and would provide me with the energy I need for a workout. The Power Bar Performance Energy Blends met all of these requirements and more. Whenever I drink these Energy Blends, I always feel like I'm ready to take on the world by storm. I can always exercise for longer whenever I drink a Power Bar Performance Energy Blend.",,,5
vmmartinez,6/11/2013,29,m,Quantico,VA,4,Race to Review Energy Blends,PowerBar Performance Energy Blends really work.,"I have tried other gels, the only downside of these energy blends is that they don't kick in as fast as some of the other kinds.  This is understandable since they are more natural than the other brands.  I used them when I did the Marine Corps Historic Half Marathon in May.  It was my first race and I brought these along.  They do work, I just wish they kicked in a little faster.  The taste is ok.  They taste a little like baby food but they don't taste nasty like some of the other brands.  I definitely preferred the apple/mango/strawberry over the banana blueberry but both were ok.  ",,,
scbelle25,6/11/2013,36,f,Simpsonville,SC,5,Race to Review Energy Blends,Much improved energy for my runs!,"I used the two samples that were given to me before running 5 miles.   Loved the energy it gave me.   The taste was something even my kids would enjoy.   It didn't taste like anything was added for performance, but something that I would enjoy eating normally.   Only thing I have not liked is none of my local stores sell this product.   I have tried bi-lo, ingles, walmart, publix, target, and cvs.   Very disappointed that I cannot locate this easy in my local stores because it is definitely a product I would have continued using if it was made available to me.",,,
AmberGuevara,6/11/2013,30,f,Woodstock,GA,5,Race to Review Energy Blends,Powerbar Performance Energy Blends for the win!,"So after trying the couple of free packages of Energy Blends that I got from being a bzzagent, I decided to purchase my own. They are absolutely delicious, nice and smooth, and really do offer a quick and portable pick me up! The flavors are very good and quick to eat/drink on the go. They were my secret weapon on vacation and were so easy to slip into my baby's diaper bag. I have hypoglycemia and can feel when my sugar is off and I was able to get regulated long enough to get to ""real food"" because of these portable pouches. They will now be a staple in my bags!",,,0
cjhager,6/11/2013,38,f,Byron Center,MI,4,Race to Review Energy Blends,Strong energy fuel and flavor,"I don't normally use energy blends before, during or after my workouts, but was able to do so being a part of this campaign.  The texture of the blends was smooth and the flavor was strong and vibrant.  I am not a big fan of banana flavor so I thought the banana flavor was too strong and overpowered the blueberry flavor it was blended with.  PowerBar Performance Energy Blends were a great way to refuel after a workout.",,,
dentwil,6/11/2013,44,m,Auburn,AL,5,Race to Review Energy Blends,Energy Blends makes a difference,"I am sort of skeptical about energy supplements. They seem to give only energy bursts followed by some sort of crash. PowerBar Performance Energy Blends broke down my skepticism. I was training for a 5K run in my community. I took one just before the start of the race and one immediately after the race. I could feel the extra energy throughout the run. Surprisingly, I didn't experience any sort of post performance crash. It tastes great and really works. The packaging was very convenient.",,,
Jmartin313,6/11/2013,45,f,Atlanta,GA,5,Race to Review Energy Blends,Love the taste!,"I had no idea these Performance Energy Blends would taste so good! I was expecting it to taste like a gel pack,.  I really enjoy the fact that I can eat before a workout, than re-seal for the next workout.",,285,14
HollyAin2004,6/11/2013,28,f,Colorado Springs,CO,4,Race to Review Energy Blends,Powerbar Performance Energy Blends naturally fueled my workout!,"I was so excited to get the Energy Blends.   I am trying to get back into working out since I've had my third child. I am also breastfeeding so I do not take or use anything that would negatively impact my son.  So almost every workout supplement or energy booster is off limits to me...until I read the ingredient list for Powerbar Performance Energy Blends!!The Energy Blends taste delicious.  I was so happy with how they gave me a boost, with healthy and completely natural ingredients.  I would definitely get these for a long walk or jog where I'd need to fuel up in the middle.  I'm also hoping to get to actually running soon and I would DEFINITELY use these as quick, portable, healthy fuel!    The only thing that I could see these being a problem for someone is just the consistency, but as I don't have that problem I'm good! lol  Definitely appreciated the chance to try these and have enjoyed telling my family and friends who are concerned with being healthy and fit about the PowerBar Energy Blends and how they can help give you energy!",,,0
mybluize,6/11/2013,26,f,Valley,NE,3,Race to Review Energy Blends,Mixed emotions about energy blends,I am kind of undecided about the energy Blends. packaging was okay I prefer maybe a hard candy or something else. the flavor was good but I felt like I was eating baby food. if you're on-the-go the package is kind of hard to dispose of. I didn't notice a big energy boost but things don't usually affect me that much. I would recommend it to others to try. I guess I'm just picky with consistency of something I'm eating and I am NOT sensitive to energy boosters.,,4,1
mlucasinva1977,6/11/2013,35,m,Vinton,VA,4,Race to Review Energy Blends,Good Stuff,"They blends tasted very good. I am not sure that it had much affect of fueling my workout. I liked the fact that I could reseal it but a bunch of people thought I was eating Gerbers. Because the price is a bit high, I am not sure I would purchase it though. ",,454,
maile44,6/11/2013,42,f,Reno,NV,5,Race to Review Energy Blends,Guilt-Free Energy to Help Extend My Run Time,"I recently started working out after a hiatus when we had to move for my job.  It's now 2 months after we've moved and it's pretty difficult to get on track again, and I noticed that I needed something to help me with my endurance while running.  I was extremely happy to receive the news that as a BzzAgent, I would get to try the PowerBar Performance Energy Blends for free!  To be blunt, I was expecting the worst.  In my head I imagined that these would be thick, gel-like substances that would taste extremely fake and synthetic.  But, I was excited to try anything that might help me last longer when running.  So on the first day, I woke up, got ready to run, and tried the apple mango strawberry flavor.  YUM!  To my surprise, it had the consistency and taste of applesauce - NICE!  I really liked it, which was a good thing, as then if it worked, I'd be sure to get it again.  I then got my music together, put my shoes on, and off I ran.  I usually do a mile or so and then burn out and start taking walking breaks.  That day, I could do the entire 5k course without stopping!  I was so happy!Two days later I decided to extend my route a little bit and try the blueberry banana flavor.  I liked the flavor, and again, wasn't synthetic tasting.  This day I ran 4 miles - yes!  I used to run 10k when I was in shape, so it's my goal to creep back up to that level.  It looks like I've found the right energy aid to help me reach my goal!  I'm so glad that there were so many coupons that came with the samples, as I can still use some for myself, while giving them away to my runner friends.Overall, I thought that both flavors tasted great, but my favorite would definitely be the apple one.  I eat healthy, currently only saving carbs for my cheat day on the weekend, and also eating minimal meat on weekdays.  This is a great energy boost that I don't feel guilty about eating.  Also, it is just the right amount that you don't feel too full, and I don't feel like I have to wait x amount of time before running.  I have been recommending this like crazy to my runner friends and those at work, and so far everyone else who has tried them loves them as well.  Great campaign to help me and my friends with our fitness goals!",,,4
Vchinery,6/10/2013,47,f,Stewartstown,PA,4,Race to Review Energy Blends,Smooth yet satisfying..,I workout almost everyday. Some days I just don't have the energy and would rather sleep than workout but that is not an option. That's why I was so excited when Bzzagent contacted me about trying Power Bar Energy Blends. The great flavor combined with convenience makes this a definite plus for my workout. I throw one in my gym bag in the morning and eat it 30 minutes before a workout. it gives me the energy i need without the crash that can come from sugar laden drinks and bars. I prefer to refrigerate my blends but they can be eaten at room temperature. They are smooth and full of flavor. I prefer the strawberry mango for eating straight out of the package. I'm not as big a fan of the banana blueberry so I tried it in a smoothie. The texture is like baby food so it's blends great. This is definitely a welcome addition to my workout routine. I'm hoping they come out with more new flavors. Thank you Power Bar. ,,429,0
crensj,6/10/2013,35,m,Rogers,AR,5,Race to Review Energy Blends,I'm hooked!,"I'm definitely hooked.  Power Bars new product, Energy Blends, would be great for any level athlete looking for nutrition before or during workouts.Taste.  Check.Ease.  Check.Price.  Check.Results.  Check.Nutrition.  Check.Power Bar Energy Blends way exceeded my expectations.  I have already been hooked on Power Bar Energy Gels for my long runs (and naturally spread the word), but this product makes the recurring shopping list for both me and my wife going forward.  Big fan.Well done Power Bar. Consider giving it a try if you haven't found that product you are totally hooked on yet.",,,
alkendel,6/10/2013,32,f,Eastpointe,MI,4,Race to Review Energy Blends,Powerbar refuel after the race,"First off I think the pouch is great it's convient to through in any bag, purse, or pocket.  I was eager to try this because after a run I need something to give me immediate refueling.  This tasted great and I defiently felt more energized.  The show stopper here was the texture.  I new it would be like applesauce or babyfood.  I didn;t think that would be an issue but I defeiently was for me.  This has so many other great components going on.  It taste great, I feel great after eating it and it convient to carry.",,,
Inkey72,6/10/2013,41,f,Brick,NJ,4,Race to Review Energy Blends,Better if you chill it,Found these ok. Didn't really like the taste unless I chilled them before hand. When I was out on a long hike and they got warm I didn't like the taste as much. ,,101,2
dpdbee,6/10/2013,43,f,Canton,MI,3,Race to Review Energy Blends,Fruit for fuel,"I wanted to try the energy blends because I have signed up to run a marathon and we are going through training having our group runs right now....the marathon is in October. I do use the energy bars from the Power Bar brand and I do like those....so, I wanted to try the energy blends. I do not find them to be any better than if you eat one of the bars before hand.....I prefer the bars because it gives a more substantial feeling of having something in you prior to a run......where I tried my second sample is after running for an hour and going into the second hour......it's more beneficial to have the blends for this time because of the convienence of it being a quicker option to get fuel in you during a run....I will be purchasing more for this point in my runs......the flavor is a little tart, which is fine for me.....may not be for others......I did show the pack and explain to the people I run with and they said that they would be open to getting some and trying to see what works best for them......some of the runners are not open minded and stick with what they know already works for them. ",,,
mishapps,6/10/2013,48,m,Santa Rosa,CA,3,Race to Review Energy Blends,Performance Energy Blends Banana Blueberry,"If you want a little pick up before a work out, Performance Energy Blends Banana Blueberry is a good start.  It is formulated with PowerBar’s C2max, a 2:1 glucose to fructose blend.  It is portable, easy to drink and has a resealable lid if one serving is too much for you.  I found the flavor and texture to be a little less than desirable.  The energy boost it claims to provide also falls a little short.  I still prefer a green tea with local honey for a clean, natural boost.  ",,,
lakemom,6/10/2013,44,f,Saint Louis,MO,4,Race to Review Energy Blends,Substitute for gels,"The PowerBar Performance Energy Blends work well as a mid-run jolt of energy. I've taken GU gels before, but always need to wash them down with water. I didn't feel that need with the PowerBar Blends. Nice texture and not too sticky. I'm going to try it a few more times before I make it my number one, but it's definitely going to be an option in the future.",,,
ThePromoGuy,6/10/2013,46,m,Edmond,OK,5,Race to Review Energy Blends,Great Flavors!,"The flavors were great though the Banana seemed to be artificial (probably was fine, nothing but a real banana tastes like banana)!",,,
mom2reese,6/10/2013,40,f,Houston,TX,4,Race to Review Energy Blends,No upset stomach,"I'm a long distance runner and endurance racer, so I've tried a lot of energy gels.   These are different in that they don't have that thick gooeyness that is sometimes hard to choke down.  The other issue I have with energy gels is that some brands really upset my stomach while I'm running, which is the last thing you need!  These are easy to swallow/digest and haven't given me any stomach issues.",,,0
kkwest,6/10/2013,37,m,Westerville,OH,3,Race to Review Energy Blends,"Good flavor & results, but can't find a place to purchase!","While I was pleased with the flavors and the results (although it did seem like baby food), I was disappointed when I couldn't find anywhere to buy these.  I passed out coupons to some of my running friends and tried to buy them myself, but couldn't find them anywhere.  Depending on the price I might buy these if I needed an alternative to my usually pre-run gels.  If you can find these and they are the right price, I would pick up a few to try them out yourself.  ",,122,8
